,Date_reported,New_cases
629,2021-09-23,2171
630,2021-09-24,2080
631,2021-09-25,2253
632,2021-09-26,1216
633,2021-09-27,723
634,2021-09-28,2628
635,2021-09-29,2391
636,2021-09-30,2167
637,2021-10-01,2164
638,2021-10-02,2149
639,2021-10-03,1147
640,2021-10-04,679
641,2021-10-05,2791
642,2021-10-06,2290
643,2021-10-07,2545
644,2021-10-08,2517
645,2021-10-09,2545
646,2021-10-10,1424
647,2021-10-11,820
648,2021-10-12,3924
649,2021-10-13,3435
650,2021-10-14,3597
651,2021-10-15,3890
652,2021-10-16,4168
653,2021-10-17,2376
654,2021-10-18,1490
655,2021-10-19,6570
656,2021-10-20,6296
657,2021-10-21,6552
658,2021-10-22,6906
659,2021-10-23,7149
660,2021-10-24,4090
661,2021-10-25,2450
662,2021-10-26,9704
663,2021-10-27,9401
664,2021-10-28,9225
665,2021-10-29,9196
666,2021-10-30,9290
667,2021-10-31,4972
668,2021-11-01,3059
669,2021-11-02,3582
670,2021-11-03,11715
671,2021-11-04,10706
672,2021-11-05,10183
673,2021-11-06,11143
674,2021-11-07,6454
675,2021-11-08,4073
676,2021-11-09,15267
677,2021-11-10,13017
678,2021-11-11,12751
679,2021-11-12,5055
680,2021-11-13,13752
681,2021-11-14,8364
682,2021-11-15,5506
683,2021-11-16,20838
684,2021-11-17,18431
685,2021-11-18,18148
686,2021-11-19,18574
687,2021-11-20,19151
688,2021-11-21,11215
689,2021-11-22,6754
690,2021-11-23,25625
691,2021-11-24,21139
692,2021-11-25,20175
693,2021-11-26,20230
694,2021-11-27,20045
695,2021-11-28,11590
696,2021-11-29,7072
697,2021-11-30,25210
698,2021-12-01,20870
699,2021-12-02,19670
700,2021-12-03,18330
701,2021-12-04,17769
702,2021-12-05,9638
703,2021-12-06,5978
704,2021-12-07,20741
705,2021-12-08,15681
706,2021-12-09,15081
707,2021-12-10,13437
708,2021-12-11,13103
709,2021-12-12,7113
710,2021-12-13,3907
711,2021-12-14,13885
712,2021-12-15,10584
713,2021-12-16,9284
714,2021-12-17,8110
715,2021-12-18,7745
716,2021-12-19,4753
717,2021-12-20,2850
718,2021-12-21,9122
719,2021-12-22,7380
720,2021-12-23,7392
721,2021-12-24,7525
722,2021-12-25,6523
723,2021-12-26,2819
724,2021-12-27,4567
725,2021-12-28,13298
726,2021-12-29,12819
727,2021-12-30,15046
728,2021-12-31,16062
729,2022-01-01,12298
730,2022-01-02,4071
731,2022-01-03,9092
732,2022-01-04,27582
733,2022-01-05,28141
734,2022-01-06,26048
735,2022-01-07,23666
736,2022-01-08,23808
737,2022-01-09,15350
738,2022-01-10,11229
739,2022-01-11,37776
740,2022-01-12,31714
741,2022-01-13,31164
742,2022-01-14,30114
743,2022-01-15,31860
744,2022-01-16,21185
745,2022-01-17,15000
746,2022-01-18,62740
747,2022-01-19,60744
748,2022-01-20,60924
749,2022-01-21,57283
750,2022-01-22,56456
751,2022-01-23,32798
752,2022-01-24,20751
753,2022-01-25,76034
754,2022-01-26,62545
755,2022-01-27,54796
756,2022-01-28,47549
757,2022-01-29,41458
758,2022-01-30,23223
759,2022-01-31,13246
760,2022-02-01,50097
761,2022-02-02,36784
762,2022-02-03,30900
763,2022-02-04,25894
764,2022-02-05,22421
765,2022-02-06,12501
766,2022-02-07,7305
767,2022-02-08,27430
768,2022-02-09,19446
769,2022-02-10,16808
770,2022-02-11,14225
771,2022-02-12,12209
772,2022-02-13,6772
773,2022-02-14,4850
774,2022-02-15,16502
775,2022-02-16,11572
776,2022-02-17,10634
777,2022-02-18,9293
778,2022-02-19,7729
779,2022-02-20,4505
780,2022-02-21,2946
781,2022-02-22,10956
782,2022-02-23,8000
783,2022-02-24,7629
784,2022-02-25,6689
785,2022-02-26,5830
786,2022-02-27,3379
787,2022-02-28,2353
788,2022-03-01,8331
789,2022-03-02,6896
790,2022-03-03,7581
791,2022-03-04,7166
792,2022-03-05,6930
793,2022-03-06,4178
794,2022-03-07,3529
795,2022-03-08,12341
796,2022-03-09,9122
797,2022-03-10,9407
798,2022-03-11,8669
799,2022-03-12,8607
800,2022-03-13,5111
801,2022-03-14,3998
802,2022-03-15,15916
803,2022-03-16,12455
804,2022-03-17,12351
805,2022-03-18,11256
806,2022-03-19,10126
807,2022-03-20,5727
808,2022-03-21,4121
809,2022-03-22,18117
810,2022-03-23,13596
811,2022-03-24,13623
812,2022-03-25,12515
813,2022-03-26,11176
814,2022-03-27,5896
815,2022-03-28,3684
816,2022-03-29,18029
817,2022-03-30,13077
818,2022-03-31,12054
819,2022-04-01,11025
820,2022-04-02,9151
821,2022-04-03,5165
822,2022-04-04,3095
823,2022-04-05,14662
824,2022-04-06,11006
825,2022-04-07,11019
826,2022-04-08,9954
827,2022-04-09,9055
828,2022-04-10,4588
829,2022-04-11,2555
830,2022-04-12,12852
831,2022-04-13,9157
832,2022-04-14,8774
833,2022-04-15,8188
834,2022-04-16,7416
835,2022-04-17,3816
836,2022-04-18,2372
837,2022-04-19,3057
838,2022-04-20,11623
839,2022-04-21,8079
840,2022-04-22,6876
841,2022-04-23,6068
842,2022-04-24,2904
843,2022-04-25,1607
844,2022-04-26,8455
845,2022-04-27,6014
846,2022-04-28,5354
847,2022-04-29,4857
848,2022-04-30,4364
849,2022-05-01,2406
850,2022-05-02,1216
851,2022-05-03,7221
852,2022-05-04,5503
853,2022-05-05,5201
854,2022-05-06,4954
855,2022-05-07,4470
856,2022-05-08,2235
857,2022-05-09,1176
858,2022-05-10,6584
859,2022-05-11,4895
860,2022-05-12,4193
861,2022-05-13,3686
862,2022-05-14,3215
863,2022-05-15,1477
864,2022-05-16,740
865,2022-05-17,4401
866,2022-05-18,3232
867,2022-05-19,2751
868,2022-05-20,2187
869,2022-05-21,2027
870,2022-05-22,1025
871,2022-05-23,497
872,2022-05-24,2599
873,2022-05-25,1748
874,2022-05-26,1590
875,2022-05-27,429
876,2022-05-28,1510
877,2022-05-29,823
878,2022-05-30,437
879,2022-05-31,2667
880,2022-06-01,1923
881,2022-06-02,1896
882,2022-06-03,1720
883,2022-06-04,1579
884,2022-06-05,939
885,2022-06-06,659
886,2022-06-07,815
887,2022-06-08,3418
888,2022-06-09,2577
889,2022-06-10,2420
890,2022-06-11,2379
891,2022-06-12,1201
892,2022-06-13,696
893,2022-06-14,4387
894,2022-06-15,3412
895,2022-06-16,3351
896,2022-06-17,3106
897,2022-06-18,3236
898,2022-06-19,1655
899,2022-06-20,957
900,2022-06-21,5682
901,2022-06-22,4448
902,2022-06-23,4852
903,2022-06-24,4827
904,2022-06-25,4527
905,2022-06-26,2474
906,2022-06-27,1381
907,2022-06-28,8241
908,2022-06-29,6665
909,2022-06-30,7089
910,2022-07-01,6634
911,2022-07-02,6429
912,2022-07-03,3419
913,2022-07-04,1952
914,2022-07-05,11880
915,2022-07-06,9810
916,2022-07-07,9748
917,2022-07-08,9060
918,2022-07-09,8172
919,2022-07-10,4046
920,2022-07-11,2170
921,2022-07-12,12400
922,2022-07-13,9230
923,2022-07-14,8475
924,2022-07-15,7088
925,2022-07-16,6439
926,2022-07-17,2975
927,2022-07-18,1454
928,2022-07-19,7996
929,2022-07-20,5421
930,2022-07-21,5189
931,2022-07-22,1338
932,2022-07-23,5693
933,2022-07-24,2363
934,2022-07-25,1366
935,2022-07-26,7198
936,2022-07-27,4981
937,2022-07-28,4513
938,2022-07-29,3873
939,2022-07-30,3590
940,2022-07-31,1718
941,2022-08-01,1041
942,2022-08-02,5499
943,2022-08-03,3598
944,2022-08-04,3196
945,2022-08-05,2783
946,2022-08-06,2567
947,2022-08-07,1157
948,2022-08-08,675
949,2022-08-09,3697
950,2022-08-10,2713
951,2022-08-11,2441
952,2022-08-12,2364
953,2022-08-13,2037
954,2022-08-14,1030
955,2022-08-15,662
956,2022-08-16,719
957,2022-08-17,3432
958,2022-08-18,2406
959,2022-08-19,1996
960,2022-08-20,1721
961,2022-08-21,872
962,2022-08-22,488
963,2022-08-23,2732
964,2022-08-24,1862
965,2022-08-25,1797
966,2022-08-26,1598
967,2022-08-27,1508
968,2022-08-28,725
969,2022-08-29,463
970,2022-08-30,2352
971,2022-08-31,1835
972,2022-09-01,1772
973,2022-09-02,1646
974,2022-09-03,1624
975,2022-09-04,774
976,2022-09-05,436
977,2022-09-06,2754
978,2022-09-07,1943
979,2022-09-08,1858
980,2022-09-09,1845
981,2022-09-10,1663
982,2022-09-11,802
983,2022-09-12,467
984,2022-09-13,3082
985,2022-09-14,2440
986,2022-09-15,2224
987,2022-09-16,2041
988,2022-09-17,1896
989,2022-09-18,897
990,2022-09-19,506
991,2022-09-20,3633
992,2022-09-21,2760
993,2022-09-22,2747
994,2022-09-23,2661
995,2022-09-24,2421
996,2022-09-25,1142
997,2022-09-26,416
998,2022-09-27,5
