firstDerivate_new_cases,smoothedFD_new_cases,secondDerivate_new_cases
0.000405826701459229,0.0002566849673365429,-1.476079425040568e-05
0.0003751123656843408,0.00024100731991618963,-1.5677647420353296e-05
0.00034244538554478385,0.0002244850470966615,-1.6522272819528133e-05
0.0003081394358621162,0.0002071957549268905,-1.7289292169770992e-05
0.00027253962910089163,0.00018922171409000595,-1.7974040836884548e-05
0.00023593591181791593,0.00017064910452448467,-1.857260956552128e-05
0.00019868041326867245,0.00015156723029050747,-1.9081874233977205e-05
0.00016109762678424497,0.00013206771408156892,-1.9499516208938548e-05
0.00012350509131209622,0.00011224368561592649,-1.9824028465642433e-05
8.619965748470418e-05,9.218896965916345e-05,-2.005471595676304e-05
4.946649754811183e-05,7.199728910942388e-05,-2.0191680549739565e-05
1.3583076083324708e-05,5.176148965561085e-05,-2.023579945381303e-05
-2.1221604892113916e-05,3.157279834544524e-05,-2.018869131016561e-05
-5.475043157434842e-05,1.1520120803376584e-05,-2.0052677542068657e-05
-8.682443746861265e-05,-8.31061251612514e-06,-1.9830733319501726e-05
-0.00011729585023524322,-2.7837044145641466e-05,-1.9526431629516324e-05
-0.00014604700202005064,-4.6980928330925675e-05,-1.914388418528421e-05
-0.0001729984082477383,-6.566860621100745e-05,-1.868767788008178e-05
-0.00019807633046715206,-8.383141314541721e-05,-1.816280693440976e-05
-0.00022126512514838298,-0.00010140601582915779,-1.757460268374058e-05
-0.0002425595390210429,-0.00011833468186739676,-1.6928666038238963e-05
-0.00026194910135394697,-0.00013456547986365745,-1.623079799626069e-05
-0.0002795048863360426,-0.00015005241065920648,-1.548693079554903e-05
-0.0002952488735088344,-0.00016475547438325256,-1.4703063724046085e-05
-0.00030923941696024866,-0.00017864067614164878,-1.3885201758396225e-05
-0.00032155273014211616,-0.0001916799735522185,-1.3039297410569705e-05
-0.0003322642152079041,-0.00020385117041718504,-1.2171196864966551e-05
-0.0003414388140661577,-0.00021513776286190931,-1.1286592444724274e-05
-0.00034918027074829806,-0.0002255287438023797,-1.0390980940470386e-05
-0.0003555399511859115,-0.00023501836845727525,-9.489624654895548e-06
-0.000360616010401835,-0.0002436058899027149,-8.587521445439647e-06
-0.00036447525348666694,-0.0002512952677974825,-7.689377894767603e-06
-0.00036719417544161387,-0.00025809485781068793,-6.7995900132054345e-06
-0.00036882596487649785,-0.0002640170849045686,-5.922227093880649e-06
-0.00036944611904784173,-0.0002690781088878243,-5.0610239832557e-06
-0.00036913620351487764,-0.0002732974825175477,-4.219373629723428e-06
