,Date_reported,New_cases,NormalizedCases,SmoothedCases
542,2021-06-28,780,0.0034192080588103784,1467.224254933744
543,2021-06-29,387,0.0016964532291789956,1486.051056416019
544,2021-06-30,677,0.0029676972510443928,1512.2780758684435
545,2021-07-01,776,0.003401673658508787,1545.9247989520863
546,2021-07-02,879,0.0038531844662747726,1586.983593178177
547,2021-07-03,794,0.0034805784598659494,1635.416517049008
548,2021-07-04,929,0.004072364470044669,1691.1524394201535
549,2021-07-05,806,0.0035331816607707244,1754.0845379803889
550,2021-07-06,480,0.0021041280361910023,1824.0682419989264
551,2021-07-07,907,0.003975925268385915,1900.919678917828
552,2021-07-08,1010,0.004427436076151901,1984.4146769192091
553,2021-07-09,1391,0.006097587704878509,2074.288366292448
554,2021-07-10,1386,0.006075669704501519,2170.2354113674623
555,2021-07-11,1394,0.006110738505104702,2271.9108921523416
556,2021-07-12,1391,0.006097587704878509,2378.931840888468
557,2021-07-13,887,0.0038882532668779563,2490.879423864847
558,2021-07-14,1530,0.00670690811535882,2607.3017434363055
559,2021-07-15,2153,0.009437890962331724,2727.7172197433524
560,2021-07-16,2473,0.01084064298645906,2851.6184966465858
561,2021-07-17,2895,0.012690522218276983,2978.476802391748
562,2021-07-18,3118,0.013668065035090719,3107.746683029465
563,2021-07-19,3126,0.013703133835693902,3238.87101610896
564,2021-07-20,2070,0.009074052156073696,3371.2862040729096
565,2021-07-21,3555,0.01558369826803961,3504.4274414474658
566,2021-07-22,4254,0.018647834720742756,3637.733947596995
567,2021-07-23,5056,0.022163481981211892,3770.6540576371362
568,2021-07-24,5142,0.02254047158769611,3902.650068093801
569,2021-07-25,5138,0.02252293718739452,4033.202740960748
570,2021-07-26,4742,0.02078703155753694,4161.815379728529
571,2021-07-27,3115,0.013654914234864524,4288.017403408177
572,2021-07-28,4516,0.019796337940497014,4411.367359135776
573,2021-07-29,5693,0.024955835229240365,4531.455330123347
574,2021-07-30,6167,0.027033661664978982,4647.9047129671035
575,2021-07-31,6613,0.028988747298606454,4760.373356052436
576,2021-08-01,6509,0.02853285289076507,4868.554068413711
577,2021-08-02,5320,0.023320752401116942,4972.174525337682
578,2021-08-03,3185,0.013961766240142379,5070.996612699145
579,2021-08-04,4841,0.021221007965001336,5164.815265998267
580,2021-08-05,6590,0.028887924496872303,5253.456871913687
581,2021-08-06,7224,0.031667126944674585,5336.777309560581
582,2021-08-07,6599,0.028927376897550882,5414.659715307517
583,2021-08-08,6897,0.030233689720019462,5487.012058817339
584,2021-08-09,5733,0.025131179232256284,5553.76461889194
585,2021-08-10,4200,0.01841112031667127,5614.867445773045
586,2021-08-11,5624,0.02465336682403791,5670.287891928053
587,2021-08-12,6921,0.030338896121829013,5720.008286263792
588,2021-08-13,7267,0.031855621747916694,5764.023817469602
589,2021-08-14,7398,0.03242987335779382,5802.3406811650875
590,2021-08-15,7181,0.031478632141432476,5834.974533138652
591,2021-08-16,5661,0.02481556002682763,5861.949277666574
592,2021-08-17,3669,0.016083428676634974,5883.296206175664
593,2021-08-18,5268,0.02309280519719625,5899.053487835169
594,2021-08-19,7159,0.03138219293977372,5909.266000504325
595,2021-08-20,7240,0.03173726454588095,5913.985478260606
596,2021-08-21,7220,0.03164959254437299,5913.27094088829
597,2021-08-22,7466,0.03272795816292088,5907.189361558586
598,2021-08-23,5922,0.02595967964650649,5895.816521754902
599,2021-08-24,4166,0.01826207791410774,5879.237997485353
600,2021-08-25,6078,0.026643521258268566,5857.550218091915
601,2021-08-26,7539,0.03304796096842493,5830.861538535592
602,2021-08-27,7215,0.031627674543996,5799.2932678472835
603,2021-08-28,7823,0.03429290338983794,5762.980600337814
604,2021-08-29,6858,0.030062729317078943,5722.073401934645
605,2021-08-30,5954,0.026099954848919225,5676.736811367734
606,2021-08-31,4253,0.01864345112066736,5627.151624519789
607,2021-09-01,5492,0.024074731614085385,5573.514439706507
608,2021-09-02,6496,0.028475866089784897,5516.037551558316
609,2021-09-03,6754,0.02960683490923756,5454.948591131348
610,2021-09-04,6729,0.029497244907352612,5390.489919489251
611,2021-09-05,6156,0.026985442064149604,5322.917790906417
612,2021-09-06,5314,0.023294450800664553,5252.501309726714
613,2021-09-07,3347,0.014671909452356843,5179.521211505348
614,2021-09-08,4715,0.0206686743555012,5104.268504162468
615,2021-09-09,5921,0.02595529604643109,5027.043008352734
616,2021-09-10,5518,0.02418870521604573,4948.151838042194
617,2021-09-11,5617,0.024622681623510122,4867.907862389113
618,2021-09-12,5191,0.02275526799139061,4786.628188521336
619,2021-09-13,4664,0.020445110751655907,4704.632701820297
620,2021-09-14,2792,0.012239011410510996,4622.242696043486
621,2021-09-15,4009,0.017573852702270267,4539.77962026638
622,2021-09-16,4826,0.021155253963870368,4457.563963456345
623,2021-09-17,5115,0.022422114385660368,4375.914290779569
624,2021-09-18,4544,0.019919078742608155,4295.146438772593
625,2021-09-19,4576,0.020059353945020886,4215.572869566831
626,2021-09-20,3836,0.016815489889226425,4137.502177712122
627,2021-09-21,2405,0.010542558181332,4061.2387370601327
628,2021-09-22,3374,0.014790266654392587,3987.082469869568
629,2021-09-23,3963,0.017372207098801964,3915.3287159787264
630,2021-09-24,4053,0.017766731105587776,3846.2681767131394
631,2021-09-25,3790,0.01661384428575812,3780.186906267791
632,2021-09-26,3519,0.015425888665325285,3717.3663226866206
633,2021-09-27,3099,0.013584776633658159,3658.0832112660482
634,2021-09-28,1773,0.007772122933680514,3602.609695189899
635,2021-09-29,2962,0.012984223423328643,3551.2131513621484
636,2021-09-30,3212,0.014080123442178124,3504.1560535919903
637,2021-10-01,4094,0.01794645870867909,3461.6957303060267
638,2021-10-02,3403,0.014917391056579125,3424.084029577821
639,2021-10-03,3309,0.014505332649491722,3391.566890207524
640,2021-10-04,2967,0.013006141423705632,3364.383823565513
641,2021-10-05,1612,0.007066363321541449,3342.7673166400086
642,2021-10-06,2463,0.01079680698570508,3326.942171913414
643,2021-10-07,3232,0.014167795443686081,3317.1248040742817
644,2021-10-08,2933,0.012857099021142104,3313.5225169290825
645,2021-10-09,3017,0.013225321427475529,3316.332786042177
646,2021-10-10,2747,0.01204174940711809,3325.742573501037
647,2021-10-11,2278,0.009985840971756465,3341.927700749134
648,2021-10-12,1516,0.0066455377143032485,3365.0523037034013
649,2021-10-13,2486,0.010897629787439233,3395.2683915088815
650,2021-10-14,2769,0.012138188608776844,3432.715526488653
651,2021-10-15,2666,0.011686677801010858,3477.520638396856
